Decade,Period,Year,Winner,State
1,1880-1889,1880,A Keating,NSW
1,1880-1889,1881,Sgt Furnish,NSW
1,1880-1889,1882,Capt Linsley,NSW
1,1880-1889,1883,A Keating,NSW
1,1880-1889,1884,Pr McLean,NSW
1,1880-1889,1885,Cpl Fraser,NSW
1,1880-1889,1886,W Ingall,NSW
1,1880-1889,1887,A Keating,NSW
1,1880-1889,1888,A Grant,NSW
1,1880-1889,1889,A Keating,NSW
1,1880-1889,1880,na,VIC
1,1880-1889,1881,J Hanby,VIC
1,1880-1889,1882,W Oldershaw,VIC
1,1880-1889,1883,T Churchill,VIC
1,1880-1889,1884,W Thirkettle,VIC
1,1880-1889,1885,J Christopherson,VIC
1,1880-1889,1886,W Hicks,VIC
1,1880-1889,1887,A Taylor,VIC
1,1880-1889,1888,S Bunting,VIC
1,1880-1889,1889,F Logan,VIC
1,1880-1889,1880,R Rogers,QLD
1,1880-1889,1881,W Barron,QLD
1,1880-1889,1882,A Thynne,QLD
1,1880-1889,1883,T Grimes,QLD
1,1880-1889,1884,A Thynne,QLD
1,1880-1889,1885,Creeth,QLD
1,1880-1889,1886,C Fryer,QLD
1,1880-1889,1887,George,QLD
1,1880-1889,1888,J Stirling,QLD
1,1880-1889,1889,T Grimes,QLD
1,1880-1889,1880,na,TAS
1,1880-1889,1881,na,TAS
1,1880-1889,1882,na,TAS
1,1880-1889,1883,na,TAS
1,1880-1889,1884,na,TAS
1,1880-1889,1885,na,TAS
1,1880-1889,1886,na,TAS
1,1880-1889,1887,Welsh,TAS
1,1880-1889,1888,W Hunt,TAS
1,1880-1889,1889,na,TAS
1,1880-1889,1880,Pte Forrester,SA
1,1880-1889,1881,Pte Paton,SA
1,1880-1889,1882,Pte G Williams,SA
1,1880-1889,1883,Pte AR Addison,SA
1,1880-1889,1884,Pte WH Miller,SA
1,1880-1889,1885,E Marsson,SA
1,1880-1889,1886,Cpl Lindeloff,SA
1,1880-1889,1887,Lt A Robertson,SA
